ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,NOMBRE_BIEN,DESCRIPCION_BIEN,CARACTERISTICAS_BIEN,VALOR_BIEN
ACCION POPULAR,CONGRESISTA,AUGUSTO,REY HERNANDEZ DE AGUERO,ACCIONES,ACCIONES BVL,SOLES,5000
ACCION POPULAR,CONGRESISTA,HOVER JULIO,PARIONA YAURI,0,-,-,0
ACCION POPULAR,CONGRESISTA,JUAN JOSE,ROCHA LOPEZ,TRANSFERENCIA DE DERECHOS DEL TITULAR,J.J. ROCHA METAL MECANICA E.I.R.L.,PARTIDA Nº 05014140,45000
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,LIBROS ,JURIDICOS Y OTROS,EN BUEN ESTADO,15000
ACCION POPULAR,CONGRESISTA,LUIS ANGEL,ARAGON CARREÑO,OBJETOS DE ARTE,JOYAS Y OTROS ,EN BUEN ESTADO,10000
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,ACCIONES,-,-,8000
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,JOYAS,"COLLARES,PULSERAS,SORTIJAS Y OTROS",",PULSERAS,SORTIJAS Y OTROS",60000
ACCION POPULAR,CONGRESISTA,NORMA TEODORA MARIA,MARTINEZ CASTILLO,PINTURAS,-,-,56000
ACCION POPULAR,CONGRESISTA,OSCAR RAFAEL,BENAVIDES RUIZ,Parcela Agrícola ,Herencia ,Zona de Cultivo ,30000
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,ESCULTURAS,ESCULTURAS,ESCULTURAS,300000
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,JOYAS,JOYAS,JOYAS,250000
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,LIBROS,LIBROS,LIBROS,450000
ACCION POPULAR,PRESIDENTE DE LA REPUBLICA,ISAAC ALFREDO,BARNECHEA GARCIA,PINTURAS,PINTURAS,PINTURAS,400000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ADOLFO ALBERTO,ARRIETA KOHLER ,ACCIONES,IN FLIGHT MEDIA SAC,99.5% (VALOR NOMINAL DE CADA ACCIÓN ES DE S/. 1.00,26999
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CESAR AUGUSTO,SANDOVAL NIZAMA,RELOJES ANTIGUOS,ORO Y PLATA,MARCAS ANTIGUAS,20000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,POSESIÓN ,ASOCIACIÓN APAVIS - CAÑETE,TERRENO RUSTICO,4987
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,POSESIÓN ,ARMA - HUANCAVELICA,TERRENO ERIAZO,600
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,POSESIÓN,URB. MUERTOS DE LA MOLINA,TERRENO CASA,33935.41015625
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CRISANTO CIRILO,ABREGU CANALES,POSESIÓN,ASOCIACIÓN APAVIS - CAÑETE,TERRENO RUSTICO,4987
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDILBERTO JAVIER,ANGELES AGUILAR ,TITULAR - GERENTE,EDYBARB E.I.R.L.,100% CAPITAL SOCIAL,1000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,EDILBERTO JAVIER,ANGELES AGUILAR ,ACCIONES ,GLOBAL ANDINA S.A.C.,50%,2500
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ELIOVARDO CALIXTO,HUACOTO PALLAROZO,ACCIONES,SALAZAR HUACOTO VIVAR S.A.C.,1% (VALOR NOMINAL S/1),1000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ENRIQUE,WONG PUJADA,ACCIONES CLINICA SAN VICENTE SA,7377 ACCIONES ,VALOR NOMINAL S/. 1.00 C/U,7377
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FERMIN,MESTAS PACOMPIA,CASA,POSESION,2 PISOS,80000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FLORESMILO,GUERRERO NEYRA,RESTAURANT POLLERIA BRAGA S.R.L,SIN ACTIVIDAD,SIN ACTIVIDAD,0
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,FLORESMILO,GUERRERO NEYRA,LOS PARAMOS NEGOCIOS GENERALES EIRL,SERVICIOS GENERALES,SERVICIOS GENERALES,16850
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GERARDO GIESSLER,LOPEZ QUIROZ ,LIBROS,BIBLIOTECA PERSONAL,LOTE LIBROS VARIADOS,15000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GLADYS FLORENCIA,CCUNO YUCRA DE HUANCA,CASA VIVIENDA,1 PISO,VIVIENDA,30000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GRACIELA ELIZABETH,LOYA AQUIJE DE COSENTINO,ACCIONES,VIA CONSENTINO S.A.C.,26% VALOR NOMINAL DE CADA ACCION S/ 1000,26000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GRACIELA ELIZABETH,LOYA AQUIJE DE COSENTINO,ACCIONES,LA UNION CONSENTINO S.A.C.,26% VALOR NOMINAL DE CADA ACCION S/ 1000,26000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GUISSELLA AYDE,COLLANTES VÁSQUEZ,EMPRESA,SOJA MAYA CREATION EIRL,DISEÑO DE MODAS,3000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,IBAR,QUINTANA MOSCOSO,CASA COMPRA/VENTA POR HIPOTECA,JR. LOS DIAMANTES  N. 521 BALCONCILLO LA VICTORIA,CASA ANTIGUA DE 03 PISOS,150000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JAIME ANTONIO,VASQUEZ ACOSTA ,Valor V y J Servicios EIRL,Titular Gerente,Empresa de Servicios,6500
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JAIME ROOSEWELT,MINAYA CASTROMONTE,600 ACCIONES,COORPORACION EDUCATIVA SAC,50%,6000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JORGE ARTURO,ORTECHO BARCO,Servicios Integrales Generales y de Tecnologia SRL,Accionista de Empresa,49%,10328
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE,HINOSTROZA AUCASIME,Titular Gerente,Consultoría Hinostroza E.I.R.L.,100% de acciones Valor Nominal S/ 1.00,1000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE LUIS,ALPACA DEZA,CASA VIVIENDA,DEPARTAMENTO,2 PISOS,500000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS ALBERTO,PILLACA MOROTE,ACCIONES ,INNOVADENTMEDIC S.A.C.,50% CALOR NOMINAL 10.00 CADA UNO,4630
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS ALBERTO,MATOS DEL POZO ,ACCIONES (20%),PLATERÍAS UNIDAS PUSA S.A.,20% (POR EL ACCIONARIADO DE 20% POR LAS 7 TIENDAS).,50000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS PELAYO,AGUILAR ARENAZA ,TRANS PLUS SERVIS E.I.R.L.,PARTIDA ELECTRÓNICA 13552819 (100% DE ACCIONES),RUBRO: TRANSPORTES,3000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,LUIS PELAYO,AGUILAR ARENAZA ,CONSTRUCTORA E INMOBILIARIA VULCANO E.I.R.L.,PARTIDA ELECTRÓNICA 12007938 (100% DE ACCIONES),RUBRO: CONSTRUCCIÓN,3000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARTIN,BELAUNDE MOREYRA ,DEPOSITO,FINANCIERA CONFIANZA,A PLAZO FIJO,101727.359375
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARTIN,BELAUNDE MOREYRA ,MOBILIARIO,MUEBLES/DIVERSOS,MENAJE DE CASA,80000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARTIN,BELAUNDE MOREYRA ,OBJETOS DE ARTE,CUADROS Y ADORNOS,DECORATIVOS,100000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MARTIN,BELAUNDE MOREYRA ,INVERSIONES ,BBVA-CONTINENTAL,FONDOS MUTUOS,898738.1875
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MIGUEL RAFAEL,PEREZ ARROYO ,"Biblioteca, Oficina y Enseres Domésticos",Mobiliario de Estudio Profesional y Libros de Biblioteca Personal,"Escritorios, mesas, sillas, muebles, libros nacionales y extranjeros, etc.",371418.21875
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,MIRIAN ROSANA,BOCANEGRA SANTOS ,CORPORACIÓN GÉNESIS GLOBAL S.A.C.,PARTIDA ELECTRÓNICA N° 12652111 (95% DE ACCIONES.,RUBRO: COMERCIALIZACIÓN DE ACCESORIOS.,50000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,OLINDA VISENTA,ARMAS VICHARRA,ACCIONES (35%),CORPORACION ARMAS S.A.C.,PARTIDA ELECTRONICA N° 12072681,52500
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ORESTES POMPEYO,SANCHEZ LUIS ,PARTICIPACIONES,NEGOCIOS Y REPRESENTACIONES GENERALES S.R.L.,20%,2000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ORESTES POMPEYO,SANCHEZ LUIS ,ACCIONES,DIRECTORIO EMPRESARIAL DE GAMARRA S.A. (SIN ACTIVIDAD),30%,3000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,RODOLFO ALLEM,ROJAS VILLANUEVA,Violin,Stradivarius,Made in Germany,5000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,RODOLFO ALLEM,ROJAS VILLANUEVA,Biblioteca,Libros,Diversos,10000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ROXANA ESTHER,SANCHEZ LAVADO,Separa tu Casa S.A.C,Acciones de empresa,25%,500
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ROXANA ESTHER,SANCHEZ LAVADO,Institucion Especializado en Ciencias de la Salud S.A.C,Acciones de empresa,50%,1500
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,VICTOR HERMOGENES,IZQUIERDO MENDOZA ,ACCIONES ,INTINELLAS S.A.C.,25 %,1250
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,WILDER VICTORIANO,CHAVEZ MARIN ,TITULAR,NUEVO HOTEL PLAZA EL CARMEN E.I.R.L,100%,101580
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ZENON,FARFAN CRUZADO,DIRECTOR GERENTE,SUDAMERICANA DE RADIO DIFUSION PRENSA Y TV EIRL,EMPRESA PRODUCTORA DE RADIO PRENSA Y TV,160000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ZENON,FARFAN CRUZADO,ACCIONES,CORPORACION PERIODÍSTICA SOLAR SAC,"1000 ACCIONES , VALOR NOMINAL S/.25.00 C/U",25000
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PRESIDENTE DE LA REPUBLICA,HERNANDO,GUERRA GARCIA CAMPOS,CUADRO,FRANCISCO GUERRA GARCIA,CAIDOS,10200
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PRESIDENTE DE LA REPUBLICA,HERNANDO,GUERRA GARCIA CAMPOS,CUADRO,FRANCISCO GUERRA GARCIA,MUJER,6800
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PRESIDENTE DE LA REPUBLICA,HERNANDO,GUERRA GARCIA CAMPOS,OBRA DE ARTE,CUADRO -  F GUERRA GARCIA,MICRO,10200
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,PRESIDENTE DE LA REPUBLICA,HERNANDO,GUERRA GARCIA CAMPOS,CUADRO,DURVAI PEREYRA,MOULIN - ROUGE,13600
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BORIS MICHEEL,PAZ DE LA BARRA ,1 CADENA,VARON 70 GRAMOS,ORO,12000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BORIS MICHEEL,PAZ DE LA BARRA ,1 RELOJ,ROLEX - VARON,ACERO Y ORO,35000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BORIS MICHEEL,PAZ DE LA BARRA ,1 RELOJ,ROLEX - MUJER,ORO,30000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BORIS MICHEEL,PAZ DE LA BARRA ,2 PULSERAS,VARON 50 GRAMOS,ORO,8000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,BORIS MICHEEL,PAZ DE LA BARRA ,8 ANILLOS,VARON 80 GRAMOS,ORO,13000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,CHARLES ADRIAN,ZAPATA VEGA ,CORPORACIÓN SLIN SAC,99% DE ACCIONES,EMPRESA PRIVADA,4390000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,EDWIN ALBERTO,DONAYRE GOTZCH,ENSERES,DOMESTICOS,DIVERSOS,15000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ELSA YOLANDA,MAMANI CARPIO ,ACCIONES,P&MCOMUNICACIONES,80% DE ACCIONES,24000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,GLORIA EDELMIRA,MONTENEGRO FIGUEROA ,MENAJE DE CASA,"MUEBLES DE HOGAR, EQUIPOS DE COMPUTO, ARTEFACTOS",VARIAS,50000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,HERNAN,DE LA TORRE DUEÑAS ,ENSERES DE HOGAR,VARIOS,REGULAR ESTADO,50000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN CARLOS,DIAZ SANCHEZ ,"ACCIONES EN ""ESTUDIO DIAZ SANCHEZ Y ASOCIADOS ABOGADOS S.A.C.""",21270 ACCIONES,P.E. N° 11071736,63810
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN CARLOS,DIAZ SANCHEZ ,LIBROS,150 LIBROS,LIBROS DE DERECHO,15000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARCO TULIO,FALCONI PICARDO ,BIBLIOTECA,9381,LIBROS,286056
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARCO TULIO,FALCONI PICARDO ,LUZ DEL SUR,1561,ACCIONES,14283.150390625
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARCO TULIO,FALCONI PICARDO ,BANCO CONTINENTAL,AHORROS,PERSONALES,2099.80004882812
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARCO TULIO,FALCONI PICARDO ,BANCO DE CREDITO,AHORROS,PERSONALES,11178.1298828125
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARCO TULIO,FALCONI PICARDO ,REPRESENTACIONES AURIGA SAC,130667,ACCIONES,130667
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA ENRIQUETA,RIVERA DELGADO ,PATRIMONIO EMPRESARIAL DE 50% EN ARIANE INGENIERÍA S.A.,-,-,3500000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,RICHARD FRANK,ACUÑA NUÑEZ ,ACCIONES,MATT SEGURIDAD SAC,ACCIONES AL 99.8%,1304103
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,RICHARD FRANK,ACUÑA NUÑEZ ,ACCIONES,LIBRERIA BAZAR INGENIERIA EIRL,ACCIONES AL 100%,72600
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,RICHARD FRANK,ACUÑA NUÑEZ ,ACCIONES,NEGOCIACIONES RAFAELA SAC,ACCIONES AL 91.13%,934758
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,RICHARD FRANK,ACUÑA NUÑEZ ,ACCIONES,NEGOCIOS EMPRESARIALES MATT EIRL,ACCIONES AL 100%,300321
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,INTIGUEDADES,JUEGO SALA Y COMEDOR,SIGLO XVII,150000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,ACCIONES,UNIVERSIDAD DE LAMBAYEQUE,225829 ACC. S/.10.= C/U,2258290
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,PINTURAS CUSQUEÑAS,CUADROS,SIGLO XVII,200000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,LIBROS,"LITERATURA, ECONOMIA, POLITICA, HISTORIA",LIBROS,150000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,CUENTAS POR COBRAR,UNIVERSIDAD DE LAMBAYEQUE,----,294688.5
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,CUENTAS POR COBRAR,CORP. UNIVERSIDAD DE LA COST,-----,869661.0625
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,AHORROS,BANCO CONTINENTAL,----,500000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,ACCIONES,CORP. UNIVERSIDAD DE LA COSTA,99927 ACC. S/.10.= C/U,999270
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,WILLY,SERRATO PUSE ,FRECUENCIA MODULADA FM ,PERSONA NATURAL,RADIO DIFUSION 98.3,5000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,WILLY,SERRATO PUSE ,SUPER WSP EIRL,GERENTE GENERAL,EMPRESA RADIAL,10000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,WILLY,SERRATO PUSE ,EDSC WSP SAC,GERENTE GENERAL,ESPECTACULO DPTVO,2000
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,WILLY,SERRATO PUSE ,WSP SRL,GERENTE GENERAL,EMPRESA RADIAL,5000
ALIANZA PARA EL PROGRESO DEL PERU,PRIMER VICEPRESIDENTE DE LA REPUBLICA,ANA ELENA LUISA CRISTINA,TOWNSEND DIEZ CANSECO,OBRAS DE ARTE,2 GRABADOS,AUTOR: FERNANDO SZYSZLO,24000
ALIANZA POPULAR,CONGRESISTA,ALBERTO,MESSA MEZA ,MAQUINA,SEGADORA DE ARROZ,TRITURA,100000
ALIANZA POPULAR,CONGRESISTA,ALBERTO,MESSA MEZA ,MAQUINA ,PELAR ARROZ,PELA,70000
ALIANZA POPULAR,CONGRESISTA,ALFREDO ARCADIO,LOZADA BONILLA ,MUEBLES,ELECTRODOMESTICOS,MENAJE,20000
ALIANZA POPULAR,CONGRESISTA,ALFREDO ARCADIO,LOZADA BONILLA ,AHORROS,AHORROS,SOC CONYUGAL,36774
ALIANZA POPULAR,CONGRESISTA,ALFREDO ARCADIO,LOZADA BONILLA ,AHORRO,APORTO SIN FIN PREVISIONAL,AFP PRIMA,2937.3701171875
ALIANZA POPULAR,CONGRESISTA,ALONSO ALBERTO,NAVARRO CABANILLAS,AGROPECUARIA LARAN SAC,33% DE ACCIONES,EMPRESA AGRICOLA,1600000
ALIANZA POPULAR,CONGRESISTA,ANTONINA ROSARIO,SASIETA MORALES ,Pinturas,Pinturas,Pinturas,120000
ALIANZA POPULAR,CONGRESISTA,BELIZARIO MIGUEL,GONZALES HUAPAYA ,JOYAS,"SORTIJA CADENA, AROS",ORO,8100
