ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,PROCESO_ELECTORAL,ORGANIZACION_POLITICA,ANIO_INICIO,ANIO_FINAL,CARGO_ELEGIDO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ADOLFO ALBERTO,ARRIETA KOHLER ,ELECCIONES REGIONALES Y MUNICIPALES 2014,SOLIDARIDAD NACIONAL,2015,Actualidad,REGIDOR(A) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,AIDA AZUCENA,LOZANO TRUJILLO,ELECCIONES REGIONALES 2006,PARTIDO REGIONAL DE INTEGRACION,2007,2010,CONSEJERO REGIONAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,CHRISTOPHER ANTONIO,CASTILLO CALDERON ,ELECCIONES REGIONALES Y MUNICIPALES 2014,SOLIDARIDAD NACIONAL,2015,Actualidad,REGIDOR(A) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ENRIQUE,WONG PUJADA,ELECCIONES MUNICIPALES 1998,MOVIMIENTO VAMOS VECINOS,1998,2003,REGIDOR(A) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ENRIQUE,WONG PUJADA,ELECCIONES GENERALES 1985,PARTIDO APRISTA PERUANO,1985,1990,DIPUTADO(A)
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ENRIQUE,WONG PUJADA,ELECCIONES MUNICIPALES 1980,PARTIDO APRISTA PERUANO,1980,1983,REGIDOR(A) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ENRIQUE,WONG PUJADA,ELECCIONES 2011,PERUANOS POR EL KAMBIO,2011,Actualidad,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ESTHER CONSUELO,QUIÑONES ZARATE DE NAJARRO,ELECCIONES REGIONALES Y MUNICIPALES 2014,PARTIDO SOLIDARIDAD NACIONAL,2015,Actualidad,REGIDOR(A) DISTRITAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GERARDO GIESSLER,LOPEZ QUIROZ ,ELECCIONES GENERALES 1990,CAMBIO 90,1990,1992,DIPUTADO(A)
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,GUSTAVO BERNARDO,RONDON FUDINAGA,2011 - 2016,ALIANZA SOLIDARIDAD NACIONAL,2011,2016,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,IBAR,QUINTANA MOSCOSO,1993,CAMBIO 90,1993,1995,REGIDOR(A) PROVINCIAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,ISAAC FREDY,SERNA GUZMAN ,Elecciones Generales 2006,UNIÓN POR EL PERÚ,2006,2011,CONGRESISTA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JAIME ROOSEWELT,MINAYA CASTROMONTE,ELECCIONES 1990,IZQUIERDA UNIDA,1990,1991,GOBERNADOR(A) REGIONAL
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP,CONGRESISTA,JOSE ALEJANDRO,VEGA ANTONIO ,Elecciones Generales 2006,Unión por el Perú,2006,2011,CONGRESISTA
