ORGANIZACION_POLITICA,CARGO_AUTORIDAD,NOMBRES,APELLIDOS,ORGANIZACION_POLITICA,ANIO_INICIO,ANIO_FINAL
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JOSE FERNANDO,MENDOZA RAMIREZ ,PARTIDO POLITICO RESTAURACION NACIONAL,2010,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN NOE,CORNEJO CHINGUEL ,PARTIDO POLÍTICO PERÚ POSIBLE,1990,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JUAN RAMIRO,ALVARADO GOMEZ,PERU POSIBLE,2010,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,JULIO ERNESTO,VALDEZ CARDENAS ,FRENTE REGIONAL AYACUCHO,2005,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LILIA,VARGAS CESPEDES ,UNION POR EL PERU,2010,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LUIS AMERICO,MENENDEZ ROJAS,UNION POR EL PERU,2004,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,LUZ REBECA,CRUZ TEVEZ ,PARTIDO POPULAR CRISTIANO - PPC,2005,2009
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARCO TULIO,FALCONI PICARDO ,MOVIMIENTO REGIONAL FUERZA AREQUIPEÑA,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARGARITA TEODORA,SUCARI CARI ,PARTIDO POLITICO UNION POR EL PERU,2005,2013
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA ELSA,QUELLO BARRANTES ,PARTIDO NACIONALISTA PERUANO,2009,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIA ENRIQUETA,RIVERA DELGADO ,PERÚ POSIBLE,2010,2011
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARIO JAVIER,QUISPE SUAREZ ,PARTIDO POPULAR CRISTIANO,2004,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARISOL,ESPINOZA CRUZ,UNION POR EL PERU,2005,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MARISOL,ESPINOZA CRUZ,PARTIDO NACIONALISTA PERUANO,2012,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MONICA MARGOT,GUILLEN TUANAMA ,PARTIDO POPULAR CRISTIANO,2004,2005
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MONICA MARGOT,GUILLEN TUANAMA ,PARTIDO APRISTA PERUANO,2005,2010
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,MONICA MARGOT,GUILLEN TUANAMA ,MOVIMIENTO REGIONAL OBRAS POR LA MODERNIDAD,2012,2016
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,NELSON ALBERTO,BARRANTES SANCHEZ ,PARTIDO APRISTA PERUANO,2004,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,NESTOR ARMANDO,PARI GONZALES ,PARTIDO TODOS POR EL PERÚ,2006,2006
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,NESTOR ARMANDO,PARI GONZALES ,PARTIDO JUSTICIA NACIONAL,2006,2007
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,NESTOR ARMANDO,PARI GONZALES ,PARTIDO APRISTA PERUANO,2000,2004
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,PEDRO GERARDO,REJAS TATAJE ,FUERZA POPULAR,2009,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,PEDRO JORGE,LOPEZ BARRIOS ,MI CALLAO,2005,2012
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,RICARDO,CHAVARRIA ORIA ,FUERZA NACIONAL,2005,2006
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ROSA YOLANDA,VIGIL PEREZ ,FUERZA LORETANA,2014,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,TADEO ANASTACIO,GUARDIA HUAMANI,TODOS POR EL PERÚ,2011,2014
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,TADEO ANASTACIO,GUARDIA HUAMANI,PARTIDO POPULAR CRISTIANO - PPC,2010,2011
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,TITO JOSIP,JAIME HIDALGO,PARTIDO APRISTA PERUANO,2008,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,VIRGILIO,ACUÑA PERALTA ,SOLIDARIDAD NACIONAL,1994,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,YVAN VLADIMIR,PARDO VINCES ,PARTIDO NACIONALISTA PERUANO,2010,2015
ALIANZA PARA EL PROGRESO DEL PERU,CONGRESISTA,ZOILA SOLEDAD,YAURI AQUINO ,PARTIDO APRISTA PERUANO,2010,2012
ALIANZA POPULAR,CONGRESISTA,AIDA NALDY CLOTILDE,SOTOMAYOR GARCIA VDA DE ESTERRIPA,MOVIMIENTO INDEPENDIENTE CHIMPUM CALLAO,2010,2011
ALIANZA POPULAR,CONGRESISTA,AIDA NALDY CLOTILDE,SOTOMAYOR GARCIA VDA DE ESTERRIPA,PARTIDO POPULAR CRISTIANO,2005,2006
ALIANZA POPULAR,CONGRESISTA,ALONSO ALBERTO,NAVARRO CABANILLAS,PARTIDO POPULAR CRISTIANO,2005,2009
ALIANZA POPULAR,CONGRESISTA,ANDREA,VARGAS SORIA,PARTIDO ACCIÓN POPULAR,2006,2011
ALIANZA POPULAR,CONGRESISTA,ANTONINA ROSARIO,SASIETA MORALES ,ACCION POPULAR,2004,2010
ALIANZA POPULAR,CONGRESISTA,AYDEE ALBERTINA,LOPEZ PEREZ ,Organización Independiente Ashaninka del Pichis,2006,2007
ALIANZA POPULAR,CONGRESISTA,AYDEE ALBERTINA,LOPEZ PEREZ ,Peru Posible,2007,2011
ALIANZA POPULAR,CONGRESISTA,CARLOS ALFONSO,CASSARO MERINO ,Movimiento Regional Cajamarca Siempre Verde,2009,2013
ALIANZA POPULAR,CONGRESISTA,CARLOS ALFONSO,CASSARO MERINO ,Movimiento Regional Cajamarca Siempre Verde,2009,2013
ALIANZA POPULAR,CONGRESISTA,CIRO JESUS,RODRIGUEZ ALIAGA,PARTIDO POLITICO ADELANTE,2010,2011
ALIANZA POPULAR,CONGRESISTA,GIANINA DE JESUS,CAIPO BERROCAL,PARTIDO APRISTA PERUANO,2008,2014
ALIANZA POPULAR,CONGRESISTA,JOSE MARTIN,FORT BELLINA ,CAMBIO RADICAL,2010,2010
